TT	Tên trường hợp sử dụng	Tác nhân chính	Tác nhân phụ	Mức độ cần thiết	Độ phức tạp	Giao dịch (Transaction)
I. Phân hệ quản lý tài khoản trên Web - App
1	Đăng nhập	Người dùng, Nhà quản lý, Quản trị viên		B	Trung bình	Người dùng mở ứng dụng và chọn “Đăng nhập”, hệ thống hiển thị màn hình yêu cầu Tên đăng nhập và Mật khẩu.
						Nhập thông tin và nhấn “Đăng nhập”. Hệ thống kiểm tra Đăng nhập.
						Nếu đăng nhập thành công, chuyển hướng người dùng đến màn hình chính dựa trên vai trò.
						Nếu đăng nhập thất bại hiển thị thông báo lỗi “Sai thông tin đăng nhập”.
2	Quản lý tài khoản	Quản trị viên		B	Phức tạp	Quản trị viên nhấn vào menu “Quản lý tài khoản”, hệ thống hiển thị giao diện danh sách tài khoản.
						Quản trị viên nhập từ khóa vào ô tìm kiếm và nhấn “Tìm”, hệ thống lọc dữ liệu từ CSDL và hiển thị danh sách tài khoản thỏa mãn điều kiện.
						Quản trị viên nhấn nút “Thêm mới”, hệ thống hiển thị biểu mẫu trống để nhập thông tin tài khoản. 
						Quản trị viên nhập thông tin và nhấn “Lưu”, hệ thống kiểm tra dữ liệu hợp lệ, thêm mới vào CSDL và thông báo thành công (hoặc báo lỗi nếu sai).
						Quản trị viên chọn một tài khoản và nhấn “Sửa”, hệ thống hiển thị biểu mẫu chứa thông tin hiện tại của tài khoản đó. 
						Quản trị viên thay đổi thông tin và nhấn “Cập nhật”, hệ thống kiểm tra dữ liệu hợp lệ, cập nhật vào CSDL và thông báo kết quả.
						Quản trị viên nhấn nút “Khóa” trên một tài khoản, hệ thống hiển thị hộp thoại xác nhận khóa. Quản trị viên nhấn “Đồng ý”, hệ thống cập nhật trạng thái “Khóa” vào CSDL và thông báo đã khóa thành công.
						Quản trị viên nhấn nút “Xóa” trên một tài khoản, hệ thống hiển thị cảnh báo xác nhận xóa dữ liệu. Quản trị viên nhấn “Đồng ý xóa”, hệ thống kiểm tra ràng buộc, xóa tài khoản khỏi CSDL và thông báo hoàn tất.
3	Quản lý thông tin cá nhân	Quản trị viên, Nhà quản lý, Người dùng		B	Trung bình	Người dùng truy cập vào mục “Thông tin cá nhân”, hệ thống lấy dữ liệu từ CSDL và hiển thị giao diện chứa thông tin chi tiết.
						Người dùng chọn nút “Sửa thông tin”. Hệ thống hiện thị form sửa thông tin tài khoản
						Người dùng thay đổi thông tin cần thiết và nhấn “Lưu thay đổi”, hệ thống kiểm tra tính hợp lệ, cập nhật dữ liệu mới vào CSDL và thông báo thành công.
						Người dụng nhấn vào ảnh đại điện và chọn ảnh đại diện mới. hệ thống kiểm tra dữ liệu và cập nhật ảnh đại diện mới cho người dùng
4	Đăng ký	Người dùng		B	Trung bình	Người dùng mở ứng dụng và chọn “Đăng ký”, hệ thống hiển thị biểu mẫu (form) yêu cầu thông tin (Họ tên, SĐT, Mật khẩu, Xác nhận MK, thông tin vườn...).
						Người dùng nhập thông tin và nhấn “Đăng ký”, hệ thống kiểm tra thông tin
						Nếu đăng ký thành công, tạo tài khoản mới, lưu vào CSDL và thông báo đăng ký thành công.
						Nếu đăng ký thất bại, hiển thị thông báo lỗi cụ thể (Tài khoản đã tồn tại, Xác nhận MK không trùng)
1. Ứng dụng Mobile App
5	Tiếp nhận thông báo	Người dùng		B	Trung bình	Người dùng mở ứng dụng và ấn vào “Quản lý thông báo”, hệ thống truy xuất CSDL và hiển thị thông báo của người dùng đó (Tiêu đề, thời gian, trạng thái,...)
						Người dùng ấn vào thông báo trong danh sách thông báo để xem hiển thị chi tiết, hệ thống hiển thị chi tiết các nội dung của thông báo đó (Tiêu đề, nội dung, thời gian,...)
						Người dùng có thể đánh dấu là đã đọc thông báo bằng cách ấn vào icon đánh dấu, hệ thông chỉnh sửa để đánh dấu người dùng đã đọc thông báo
						Người dùng có thể xóa thông báo bằng cách ấn vào icon xóa, hệ thống xóa thông tin thông báo trong CSDL
6	Cài đặt cấu hình ứng dụng	Người dùng, Nhà quản lý		B	Trung bình	Người dùng nhấn chọn mục cấu hình ứng dụng, hệ thống hiển thị giao diện cấu hình
						Người dùng có thể cấu hình bật/tắt thông báo ứng dụng, hệ thống lưu cài đặt vào CSDL
						Người dùng có thể cấu hình ngôn ngữ hiển thị (Tiếng Việt, Tiếng Anh), hệ thống lưu cài đặt vào CSDL
						Người dùng có thể cấu hình giao diện sáng/tối, hệ thống lưu cài đặt vào CSDL
7	Xem vị trí vùng trồng và trạm quan trắc	Người dùng, Nhà quản lý		B	Trung bình	Người dùng ấn vào vị trí vùng trồng, hệ thống hiển thị vị trí vùng trồng và vị trí đặt trạm quan trắc
						Người dân chọn xem thông tin của một vùng trồng, hệ thống hiển thị thông tin vùng trồng ra màn hình
						Người dùng có thể xem thông tin trạm quan trắc đang đặt trên vùng trồng. hệ thống hiển thị thông tin của trạm quan trắc
						Người dùng có thể nhận biết được vùng trồng nào đang bị sâu bên bằng cách hiển thị màu, hệ thống sẽ hiển thị màu đỏ tại những vị trí đặt trạm đã xác định có sâu bệnh
						Người dùng có thể xem chi tiết tình hình sâu bệnh, hướng dẫn xử lý phòng trừ sâu bệnh, hệ thống hiển thị thông tin tình hình sâu bệnh từ dữ liệu thu thập được tại trạm quan trắc và hiển thị hướng dẫn xử lý phòng trừ sâu bệnh hại
8	Xem dự đoán vòng đời sâu đục cuống dựa vào Tổng nhiệt hữu hiệu	Người dùng, Nhà quản lý	Core AI	T	Phức tạp	Người dùng ấn vào dự đoán vòng đời sâu bệnh, hệ thống truy vấn và gửi dữ liệu vi khí hậu về Core AI
						Core AI tiếp nhận dữ liệu vi khí hậu, hệ thống thông báo Core AI tiếp nhận dữ liệu thành công
						Core AI tiến hành chuẩn hóa dữ liệu nhận được, hệ thống thông báo Core AI đang chuẩn hóa dữ liệu nhận được
						Core AI phân tích và tính toán thời gian bùng phát sâu đục cuống, hệ thống thông báo Core AI đang phân tích và tính toán thời gian bùng phát sâu đục cuống
						Core AI gửi trả kết quả về hệ thống, hệ thống thông báo nhận kết quả từ Core AI thành công
						Hệ thống tiếp nhận dữ liệu Core AI, lưu vào CSDL rồi hiển thị dự đoán, giao đoạn hiện tại của sâu bệnh ở khu vực của người dân.
						Người dân có thể ấn vào xem cách phòng trách, khắc phục khi đang ở giai đoạn đó, hệ thống truy vấn CSDL. 
						Hệ thống hiển thị cách phòng tránh, khắc phục sâu bệnh hại tại khu vực của người dân.
9	Xem tin tức nông nghiệp	Người dùng		B	Trung bình	Người dùng ấn vào mục tin tức, hệ thống điều hướng người dùng sang trang tin tức.
						Người dùng có thể tìm kiếm tin tức với từ khóa, hệ thống truy vấn CSDL tìm tin tức tương ứng.
						Người dùng có thể ấn vào tin tức để xem chi tiết tin tức, hệ thống truy xuất và hiển thị chi tiết tin tức
						Người dùng có thể đánh dấu tin tức là “Tin tức quan trọng”. Hệ thống lưu lại thông tin theo tài khoản người dùng
10	Tra cứu kiến thức nông nghiệp	Người dùng		B	Trung bình	Khi Người dùng chọn mục kiến thức nông nghiệp, hệ thống sẽ chuyển hướng sang trang thông tin tương ứng.
						Người dùng có thể nhập từ khóa để tìm kiếm kiến thức, hệ thống sẽ truy vấn cơ sở dữ liệu và hiển thị kết quả.
						Người dùng có thể lọc kiến thức nông nghệp theo danh mục. Hệ thống hiển thị các kiến thức tương ứng
						Người dùng có thể nhấn vào từng tri thức để xem chi tiết thông tin.
11	Liên hệ hỗ trợ	Người dùng		B	Trung bình	Người dùng chọn mục liên hệ, hệ thông hiển thị giao diện liên hệ.
						Người dùng nhập thông tin cần hỗ trợ và bấm “Gửi”, hệ thống xác thực thông tin (SĐT, nội dung không trống, reCAPTCHA,...).
						Nếu có lỗi, hệ thống hiển thị lại form kèm thông tin lỗi.
						Nếu không có lỗi, hệ thống lưu lại thông tin và gửi thông tin đến Quản trị viên và Nhà quản lý.
12	Xem danh sách trạm quan trắc	Người dùng, Nhà quản lý		B	Trung bình	Người dùng, Nhà quản lý ấn vào mục trạm quan trắc, hệ thống truy vấn CSDL.
						Hệ thống hiển thị danh sách trạm quan trắc.
						Người dùng có thể chọn một trạm quan trắc, hệ thống truy vấn CSDL.
						Hệ thống hiển thị thông tin chi tiết, danh sách các thiết bị, camera của trạm đó.
13	Xem dữ liệu cảm biến nhiệt độ không khí	Người dùng, Nhà quản lý		B	Trung bình	Tại giao diện các thiết bị trạm quan trắc, Người dùng chọn cảm biến nhiệt độ không khí, hệ thống hiển thị bảng thông số nhiệt độ của cảm biến.
						Người dùng có thể xem giao diện biểu đồ trực quan hơn bằng cách ấn vào xem dạng biểu đồ, hệ thống hiển thị dữ liệu dạng biểu đồ.
						Người dùng có thể lọc dữ liệu theo thời gian. Hệ thống truy vấn CSDL và hiển thị dữ liệu theo thời gian được yêu cầu.
						Người dùng có thể xuất file Excel bằng cách ấn icon xuất file, hệ thống truy vấn CSDL và xuất file Excel.
14	Xem dữ liệu cảm biến độ ẩm không khí	Người dùng, Nhà quản lý		B	Trung bình	Tại giao diện các thiết bị trạm quan trắc, Người dùng chọn cảm biến độ ẩm không khí, hệ thống hiển thị bảng thông số độ ẩm (%) của cảm biến.
						Người dùng có thể xem giao diện biểu đồ trực quan hơn bằng cách ấn vào xem dạng biểu đồ, hệ thống hiển thị dữ liệu dạng biểu đồ biến thiên độ ẩm.
						Người dùng có thể lọc dữ liệu theo thời gian, hệ thống truy vấn CSDL và hiển thị.
						Người dùng có thể xuất file Excel bằng cách ấn icon xuất file, hệ thống truy vấn CSDL và xuất file Excel.
